DATEHOUR,LOAD,LOCATION
2016-01-02 7:00,11959.85478,North Central (DFW)
2016-01-02 7:00,3390.768679,South (Corpus Christi)
2016-01-02 7:00,6000.946914,South Central (Austin)
2016-01-02 7:00,1199.256919,West (Abilene)
2016-01-02 8:00,1246.952811,West (Abilene)
2016-01-02 8:00,9741.219443,Coast (Houston)
2016-01-02 8:00,1328.223318,East (Tyler)
2016-01-02 8:00,2168.929007,Far West (Midland)
2016-01-02 8:00,839.6523223,North (Wichita Falls)
2016-01-02 8:00,12438.11596,North Central (DFW)
2016-01-02 8:00,3496.27934,South (Corpus Christi)
2016-01-02 8:00,6297.850531,South Central (Austin)
2016-01-02 9:00,10013.36306,Coast (Houston)
2016-01-02 9:00,1360.027244,East (Tyler)
2016-01-02 9:00,2176.285608,Far West (Midland)
2016-01-02 9:00,860.2788772,North (Wichita Falls)
2016-01-02 9:00,12863.1293,North Central (DFW)
2016-01-02 9:00,3641.916943,South (Corpus Christi)
2016-01-02 9:00,6530.963571,South Central (Austin)
2016-01-02 9:00,1292.592691,West (Abilene)
2016-01-02 10:00,10340.04637,Coast (Houston)
2016-01-02 10:00,1399.696101,East (Tyler)
2016-01-02 10:00,2203.996103,Far West (Midland)
2016-01-02 10:00,881.017677,North (Wichita Falls)
2016-01-02 10:00,13276.6946,North Central (DFW)
2016-01-02 10:00,3833.45812,South (Corpus Christi)
2016-01-02 10:00,6843.004597,South Central (Austin)
2016-01-02 10:00,1325.639881,West (Abilene)
2016-01-02 11:00,1329.034247,West (Abilene)
2016-01-02 11:00,10507.98602,Coast (Houston)
2016-01-02 11:00,1407.660914,East (Tyler)
2016-01-02 11:00,2201.503116,Far West (Midland)
2016-01-02 11:00,885.8790928,North (Wichita Falls)
2016-01-02 11:00,13397.50161,North Central (DFW)
2016-01-02 11:00,3985.85671,South (Corpus Christi)
2016-01-02 11:00,7033.594973,South Central (Austin)
2016-01-02 12:00,10603.69151,Coast (Houston)
